obs;Y;X;RY;RX
1;55;80;55;80
2;65;100;70;85
3;70;85;75;90
4;80;110;65;100
5;79;120;74;105
6;84;115;80;110
7;98;130;84;115
8;95;140;79;120
9;90;125;90;125
10;75;90;98;130
11;74;105;95;140
12;110;160;108;145
13;113;150;113;150
14;125;165;110;160
15;108;145;125;165
16;115;180;115;180
17;140;225;130;185
18;120;200;135;190
19;145;240;120;200
20;130;185;140;205
21;152;220;144;210
22;144;210;152;220
23;175;245;140;225
24;180;260;137;230
25;135;190;145;240
26;140;205;175;245
27;178;265;189;250
28;191;270;180;260
29;137;230;178;265
30;189;250;191;270

